Compiling 501 files (.ex)
[profile] lib/foo_1830.ex compiled in 1690ms
[profile] lib/foo_1770.ex compiled in 1273ms
[profile] lib/foo_4640.ex compiled in 5052ms
[profile] lib/foo_2950.ex compiled in 2763ms
[profile] lib/foo_1030.ex compiled in 650ms
[profile] lib/foo_4440.ex compiled in 7001ms
[profile] lib/foo_1000.ex compiled in 524ms
[profile] lib/foo_4400.ex compiled in 6355ms
[profile] lib/foo_4780.ex compiled in 5743ms
[profile] lib/foo_3580.ex compiled in 3557ms
[profile] lib/foo_1800.ex compiled in 1333ms
[profile] lib/foo_1870.ex compiled in 1868ms
[profile] lib/foo_1390.ex compiled in 1740ms
[profile] lib/foo_4450.ex compiled in 5554ms
[profile] lib/foo_2520.ex compiled in 3008ms
[profile] lib/foo_2080.ex compiled in 2854ms
[profile] lib/foo_3740.ex compiled in 3992ms
[profile] lib/foo_2460.ex compiled in 2268ms
[profile] lib/foo_4740.ex compiled in 4907ms
[profile] lib/foo_1240.ex compiled in 1042ms
[profile] lib/foo_2850.ex compiled in 2751ms
[profile] lib/foo_4970.ex compiled in 6877ms
[profile] lib/foo_3550.ex compiled in 4883ms
[profile] lib/foo_4120.ex compiled in 4883ms
[profile] lib/foo_2300.ex compiled in 2731ms
[profile] lib/foo_1700.ex compiled in 2128ms
[profile] lib/foo_720.ex compiled in 493ms
[profile] lib/foo_4030.ex compiled in 4859ms
[profile] lib/foo_580.ex compiled in 628ms
[profile] lib/foo_4700.ex compiled in 5518ms
[profile] lib/foo_420.ex compiled in 591ms
[profile] lib/foo_670.ex compiled in 601ms
[profile] lib/foo_3120.ex compiled in 2226ms
[profile] lib/foo_4210.ex compiled in 4500ms
[profile] lib/foo_10.ex compiled in 362ms
[profile] lib/foo_2490.ex compiled in 2525ms
[profile] lib/foo_1900.ex compiled in 2071ms
[profile] lib/foo_3100.ex compiled in 3327ms
[profile] lib/foo_1010.ex compiled in 684ms
[profile] lib/foo_2860.ex compiled in 3599ms
[profile] lib/foo_2340.ex compiled in 2196ms
[profile] lib/foo_1340.ex compiled in 833ms
[profile] lib/foo_2910.ex compiled in 3298ms
[profile] lib/foo_4060.ex compiled in 5081ms
[profile] lib/foo_4890.ex compiled in 6225ms
[profile] lib/foo_4220.ex compiled in 5395ms
[profile] lib/foo_2160.ex compiled in 1419ms
[profile] lib/foo_870.ex compiled in 721ms
[profile] lib/foo_3810.ex compiled in 4627ms
[profile] lib/foo_4820.ex compiled in 6891ms
[profile] lib/foo_3250.ex compiled in 3111ms
[profile] lib/foo_1190.ex compiled in 796ms
[profile] lib/foo_2870.ex compiled in 2661ms
[profile] lib/foo_2000.ex compiled in 1757ms
[profile] lib/foo_590.ex compiled in 345ms
[profile] lib/foo_3900.ex compiled in 3663ms
[profile] lib/foo_3220.ex compiled in 2850ms
[profile] lib/foo_2370.ex compiled in 2100ms
[profile] lib/foo_3110.ex compiled in 3064ms
[profile] lib/foo_1670.ex compiled in 1148ms
[profile] lib/foo_1510.ex compiled in 1568ms
[profile] lib/foo_2330.ex compiled in 2701ms
[profile] lib/foo_3260.ex compiled in 3225ms
[profile] lib/foo_3400.ex compiled in 3546ms
[profile] lib/foo_3530.ex compiled in 3953ms
[profile] lib/foo_890.ex compiled in 733ms
[profile] lib/foo_2310.ex compiled in 2623ms
[profile] lib/foo_4350.ex compiled in 5789ms
[profile] lib/foo_1120.ex compiled in 1135ms
[profile] lib/foo_4870.ex compiled in 8022ms
[profile] lib/foo_4840.ex compiled in 7103ms
[profile] lib/foo_4070.ex compiled in 5386ms
[profile] lib/foo_2670.ex compiled in 3169ms
[profile] lib/foo_180.ex compiled in 379ms
[profile] lib/foo_1070.ex compiled in 1087ms
[profile] lib/foo_4150.ex compiled in 6142ms
[profile] lib/foo_2050.ex compiled in 2454ms
[profile] lib/foo_560.ex compiled in 649ms
[profile] lib/foo_4310.ex compiled in 6840ms
[profile] lib/foo_3410.ex compiled in 4557ms
[profile] lib/foo_1380.ex compiled in 2039ms
[profile] lib/foo_510.ex compiled in 1876ms
[profile] lib/foo_1610.ex compiled in 2814ms
[profile] lib/foo_3330.ex compiled in 5106ms
[profile] lib/foo_1490.ex compiled in 2052ms
[profile] lib/foo_830.ex compiled in 1776ms
[profile] lib/foo_3080.ex compiled in 4570ms
[profile] lib/foo_3170.ex compiled in 3962ms
[profile] lib/foo_2100.ex compiled in 1683ms
[profile] lib/foo_4990.ex compiled in 6651ms
[profile] lib/foo_3520.ex compiled in 3561ms
[profile] lib/foo_2030.ex compiled in 1730ms
[profile] lib/foo_2980.ex compiled in 2658ms
[profile] lib/foo_3360.ex compiled in 3683ms
[profile] lib/foo_3310.ex compiled in 3410ms
[profile] lib/foo_2280.ex compiled in 1943ms
[profile] lib/foo_4050.ex compiled in 5352ms
[profile] lib/foo_2190.ex compiled in 1705ms
[profile] lib/foo_4730.ex compiled in 5367ms
[profile] lib/foo_2530.ex compiled in 2075ms
[profile] lib/foo_1810.ex compiled in 1315ms
[profile] lib/foo_710.ex compiled in 512ms
[profile] lib/foo_770.ex compiled in 664ms
[profile] lib/foo_4690.ex compiled in 4505ms
[profile] lib/foo_1760.ex compiled in 1690ms
